"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"SEC-03: /docker-entrypoint-initdb.d/ has drwx------ (DEF-02). On K8s defect is visible in logs but non-fatal (pod still starts). Asserts ls -ld shows defective perms and logs show 'Permission denied'.","217","SEC-03: Init dir permissions and Permission denied in logs","tests","2026-02-04","passed","2026-02-04","TestPostgreSQLBugs","test_postgresql_bugs","",""
"SEC-02: /bitnami/postgresql has drwxr-x--- in the IMAGE (DEF-01). On K8s, PVC is mounted here with different permissions, masking the defect. Documents behavioral difference: Docker fails (container crashes), K8s passes (PVC masks DEF-01).","178","SEC-02: Data dir masked by PVC on K8s (DEF-01 not visible)","tests","2026-02-04","passed","2026-02-04","TestPostgreSQLBugs","test_postgresql_bugs","",""
"SEC-04: /docker-entrypoint-preinitdb.d/ has drwx------ (DEF-02). On K8s defect is visible in logs but non-fatal (pod still starts). Asserts ls -ld shows defective perms and logs show 'Permission denied'.","12246","SEC-04: Pre-init dir permissions and Permission denied in logs","tests","2026-02-04","passed","2026-02-04","TestPostgreSQLBugs","test_postgresql_bugs","",""
